Index;Lesion;Filename;ROI
2231;743;ROI 1 - Free Hand;Norma
2232;743;ROI 2 - Sphere;Max_uptake_sphere
2233;743;ROI 3 - 2D Ellipse;Max_uptake_circle
2234;744;ROI 1 - Free Hand;Norma
2235;744;ROI 2 - Sphere;Max_uptake_sphere
2236;744;ROI 3 - 2D Ellipse;Max_uptake_circle
2237;745;ROI 1 - Free Hand;Norma
2238;745;ROI 2 - Sphere;Max_uptake_sphere
2239;745;ROI 3 - 2D Ellipse;Max_uptake_circle
2240;746;ROI 1 - Free Hand;Norma
2241;746;ROI 2 - Sphere;Max_uptake_sphere
2242;746;ROI 3 - 2D Ellipse;Max_uptake_circle
2243;747;ROI 1 - Free Hand;Norma
2244;747;ROI 2 - Sphere;Max_uptake_sphere
2245;747;ROI 3 - 2D Ellipse;Max_uptake_circle
2246;748;ROI 1 - Free Hand;Norma
2247;748;ROI 2 - Sphere;Max_uptake_sphere
2248;748;ROI 3 - 2D Ellipse;Max_uptake_circle
2249;749;ROI 1 - Free Hand;Norma
2250;749;ROI 2 - Sphere;Max_uptake_sphere
2251;749;ROI 3 - 2D Ellipse;Max_uptake_circle
2252;750;ROI 1 - Free Hand;Norma
2253;750;ROI 2 - Sphere;Max_uptake_sphere
2254;750;ROI 3 - 2D Ellipse;Max_uptake_circle
2255;751;ROI 1 - Free Hand;Norma
2256;751;ROI 2 - Sphere;Max_uptake_sphere
2257;751;ROI 3 - 2D Ellipse;Max_uptake_circle
2258;752;ROI 1 - Free Hand;Norma
2259;752;ROI 2 - Sphere;Max_uptake_sphere
2260;752;ROI 3 - 2D Ellipse;Max_uptake_circle
2261;753;ROI 1 - Free Hand;Norma
2262;753;ROI 2 - Sphere;Max_uptake_sphere
