	st-1	st-2	st-3
SUVnorm	3.405	6.13	23.676
SUV1.3	8.485	11.643	34.674
SUV10	16.228	27.991	83.108
SUVmax	23.464	52.239	121.619
TBR1.3	5.069	7.532	13.036
TBR10	14.28	27.828	64.93
TBRmax	23.261	51.136	105.658
TMV1.3	344.665	1811.914	3757.581
