	st-1	st-2	st-3
SUVnorm	0.0	0.001	0.003
SUV1.3	0.004	0.005	0.015
SUV10	0.024	0.039	0.142
SUVmax	0.053	0.086	0.223
TBR1.3	0.002	0.002	0.004
TBR10	0.014	0.026	0.081
TBRmax	0.037	0.061	0.117
TMV1.3	7.544	6.137	16.16
