	st-1	st-2	st-3
SUVnorm	1.0	1.0	3.0
SUV1.3	2.0	2.0	4.0
SUV10	3.0	2.0	5.0
SUVmax	3.0	4.0	8.0
TBR1.3	1.0	1.0	1.0
TBR10	2.0	3.0	4.0
TBRmax	3.0	4.0	7.0
TMV1.3	6.0	8.0	11.0
