	2-1	3-1	3-2
SUVnorm	4.1(CI95 2.6–5.9)	6.4(CI95 4.0–9.4)	2.3(CI95 1.2–4.0)
SUV1.3	3.8(CI95 1.5–5.9)	5.8(CI95 2.8–9.2)	2.0(CI95 0.4–3.7)
SUV10	2.3(CI95 -1.2–7.2)	3.4(CI95 -1.6–8.3)	1.0(CI95 -1.7–3.4)
SUVmax	5.2(CI95 0.8–10.2)	7.7(CI95 3.1–13.2)	2.8(CI95 -0.8–6.4)
TBR1.3	-0.3(CI95 -1.8–1.1)	-0.6(CI95 -2.2–1.2)	-0.2(CI95 -1.1–0.7)
TBR10	-1.8(CI95 -4.9–1.6)	-2.9(CI95 -6.4–1.2)	-1.3(CI95 -3.8–1.2)
TBRmax	1.1(CI95 -2.7–5.6)	1.3(CI95 -3.3–5.6)	0.3(CI95 -2.8–4.2)
TMV1.3	2.9(CI95 -6.2–14.6)	2.9(CI95 -8.1–17.4)	-0.1(CI95 -10.5–13.0)
