Parameter	st-1	st-2	st-3
SUVnorm	0.02 (0.0–0.03)	-0.02 (-0.05–-0.01)	-0.05 (-0.08–-0.02)
SUV1.3	0.02 (-0.01–0.05)	-0.04 (-0.09–-0.01)	-0.08 (-0.15–-0.01)
SUV10	0.0 (-0.08–0.06)	-0.06 (-0.15–-0.01)	-0.12 (-0.26–0.02)
SUVmax	-0.05 (-0.15–0.0)	-0.21 (-0.35–-0.08)	-0.3 (-0.54–-0.08)
TBR1.3	-0.01 (-0.02–0.02)	0.0 (-0.02–0.02)	-0.01 (-0.02–0.04)
TBR10	-0.05 (-0.1–-0.0)	-0.01 (-0.08–0.06)	0.0 (-0.09–0.11)
TBRmax	-0.09 (-0.17–-0.02)	-0.12 (-0.23–0.0)	-0.12 (-0.3–0.04)
TMV1.3	-0.25 (-1.21–0.25)	-0.22 (-1.68–0.57)	-0.42 (-1.56–0.96)
