	st-1	st-2	st-3
SUVnorm	0.01	0.02	0.03
SUV1.3	0.03	0.03	0.07
SUV10	0.06	0.07	0.16
SUVmax	0.09	0.14	0.23
TBR1.3	0.02	0.02	0.02
TBR10	0.05	0.08	0.1
TBRmax	0.07	0.11	0.18
TMV1.3	0.7	0.99	1.3
