	st-1	st-2	st-3
SUVnorm	-0.03–0.07	-0.1–0.04	-0.19–0.09
SUV1.3	-0.18–0.22	-0.25–0.15	-0.44–0.26
SUV10	-0.45–0.41	-0.62–0.48	-1.13–1.01
SUVmax	-0.72–0.58	-1.08–0.62	-1.66–1.1
TBR1.3	-0.14–0.12	-0.13–0.13	-0.16–0.16
TBR10	-0.37–0.25	-0.44–0.44	-0.67–0.79
TBRmax	-0.69–0.47	-0.83–0.59	-1.01–0.83
TMV1.3	-9.48–7.74	-7.76–7.04	-13.0–13.28
