	st-1	st-2	st-3
SUVnorm	0.02(CI95 0.01–0.03)	-0.03(CI95 -0.04–-0.02)	-0.05(CI95 -0.08–-0.03)
SUV1.3	0.02(CI95 -0.01–0.05)	-0.05(CI95 -0.08–-0.02)	-0.09(CI95 -0.15–-0.04)
SUV10	-0.02(CI95 -0.09–0.05)	-0.07(CI95 -0.15–0.02)	-0.06(CI95 -0.21–0.11)
SUVmax	-0.07(CI95 -0.17–0.03)	-0.23(CI95 -0.35–-0.11)	-0.28(CI95 -0.49–-0.07)
TBR1.3	-0.01(CI95 -0.03–0.01)	-0.0(CI95 -0.02–0.02)	0.0(CI95 -0.02–0.03)
TBR10	-0.06(CI95 -0.11–-0.01)	0.0(CI95 -0.06–0.08)	0.06(CI95 -0.05–0.19)
TBRmax	-0.11(CI95 -0.2–-0.03)	-0.12(CI95 -0.23–-0.01)	-0.09(CI95 -0.23–0.06)
TMV1.3	-0.87(CI95 -2.29–0.1)	-0.38(CI95 -1.42–0.67)	0.15(CI95 -1.22–2.14)
