	st-1	st-2	st-3
SUVnorm	0.02(CI95 0.01–0.03)	0.03(CI95 0.02–0.04)	0.05(CI95 0.03–0.08)
SUV1.3	0.06(CI95 0.03–0.1)	0.07(CI95 0.04–0.1)	0.12(CI95 0.07–0.17)
SUV10	0.15(CI95 0.09–0.22)	0.19(CI95 0.11–0.28)	0.37(CI95 0.19–0.54)
SUVmax	0.23(CI95 0.12–0.33)	0.29(CI95 0.17–0.42)	0.46(CI95 0.26–0.69)
TBR1.3	0.04(CI95 0.02–0.06)	0.05(CI95 0.03–0.07)	0.06(CI95 0.04–0.08)
TBR10	0.12(CI95 0.07–0.16)	0.16(CI95 0.09–0.23)	0.28(CI95 0.14–0.38)
TBRmax	0.19(CI95 0.1–0.29)	0.24(CI95 0.13–0.37)	0.34(CI95 0.21–0.46)
TMV1.3	2.66(CI95 1.0–4.28)	2.42(CI95 1.32–3.65)	3.86(CI95 1.67–6.71)
