	st-1	st-2	st-3
SUVnorm	1.1	1.4	2.5
SUV1.3	1.6	2.0	3.6
SUV10	2.6	2.1	4.5
SUVmax	3.1	4.5	8.1
TBR1.3	1.2	1.1	1.4
TBR10	2.4	2.8	3.9
TBRmax	3.0	4.2	7.1
TMV1.3	6.5	7.6	10.6
