	2-1	3-1	3-2
SUVnorm	4.1(2.7–5.9)	6.4(4.4–9.1)	2.1(0.9–3.5)
SUV1.3	3.7(1.5–5.6)	5.9(2.9–9.8)	1.9(0.5–3.5)
SUV10	2.3(-1.5–6.3)	3.3(-0.9–8.1)	0.9(-2.2–3.3)
SUVmax	5.1(1.0–10.4)	7.9(2.1–12.9)	2.7(-1.1–6.2)
TBR1.3	-0.3(-1.5–1.1)	-0.5(-2.3–1.0)	-0.2(-1.1–0.8)
TBR10	-1.7(-5.1–1.6)	-2.9(-7.3–1.5)	-1.2(-3.7–1.4)
TBRmax	1.1(-3.1–5.8)	1.4(-3.1–5.5)	0.6(-2.5–4.1)
TMV1.3	2.9(-6.5–14.2)	3.0(-9.2–19.1)	3.2(-6.8–17.0)
