	2-1	3-1	3-2
SUVnorm	-7.4–15.6	-14.3–27.1	-6.8–11.0
SUV1.3	-9.8–17.4	-15.6–27.2	-7.2–11.0
SUV10	-22.8–27.4	-25.8–32.6	-15.3–17.1
SUVmax	-26.8–37.0	-26.4–42.0	-17.0–22.4
TBR1.3	-8.8–8.2	-10.9–9.9	-6.5–5.9
TBR10	-24.9–21.5	-27.2–21.4	-17.1–14.7
TBRmax	-29.4–31.4	-26.5–29.3	-19.5–20.7
TMV1.3	-84.3–90.3	-93.5–99.5	-86.4–92.2
