	st-1	st-2	st-3
SUVnorm	1.8(CI95 1.2–2.7)	2.4(CI95 1.7–3.4)	4.7(CI95 2.6–8.0)
SUV1.3	2.9(CI95 1.7–4.0)	3.4(CI95 2.2–4.6)	5.8(CI95 3.5–8.2)
SUV10	3.9(CI95 2.7–5.5)	5.2(CI95 3.2–7.2)	9.0(CI95 6.2–11.6)
SUVmax	4.8(CI95 3.1–6.6)	7.1(CI95 4.7–9.9)	10.9(CI95 7.9–14.3)
TBR1.3	2.2(CI95 1.2–3.6)	2.7(CI95 1.5–3.9)	3.5(CI95 2.2–5.1)
TBR10	3.7(CI95 2.5–5.1)	5.2(CI95 3.1–7.5)	7.9(CI95 5.1–10.3)
TBRmax	4.7(CI95 3.1–6.6)	7.0(CI95 4.2–10.3)	10.1(CI95 6.9–13.3)
TMV1.3	17.9(CI95 7.4–30.3)	40.5(CI95 12.6–79.0)	56.7(CI95 13.8–116.8)
