	1-st	2-st	3-st
SUVnorm	-1.6(-2.4–-0.8)	2.4(1.4–3.4)	4.7(3.1–7.0)
SUV1.3	-1.0(-2.1–0.4)	2.5(1.1–3.9)	4.4(2.2–6.8)
SUV10	0.5(-1.1–2.0)	2.2(0.1–4.3)	3.1(-0.5–7.0)
SUVmax	1.9(-0.2–3.8)	6.6(3.8–9.5)	8.9(4.7–13.2)
TBR1.3	0.6(-0.3–1.6)	0.1(-0.9–1.3)	-0.3(-1.6–1.1)
TBR10	2.1(0.1–3.6)	-0.1(-2.2–2.0)	-1.5(-5.7–1.6)
TBRmax	3.6(1.5–6.0)	4.1(1.2–6.8)	4.0(-0.3–8.5)
TMV1.3	4.8(0.2–9.4)	4.6(-3.2–17.0)	2.1(-6.8–9.8)
