	1-st	2-st	3-st
SUVnorm	-6.6–3.4	-4.3–9.1	-10.3–19.5
SUV1.3	-8.8–6.8	-6.2–11.4	-11.7–20.9
SUV10	-10.7–11.5	-11.4–16.2	-18.8–25.6
SUVmax	-11.2–15.0	-12.8–26.2	-18.3–37.1
TBR1.3	-6.5–7.7	-7.2–7.6	-9.5–9.5
TBR10	-8.2–12.4	-14.8–14.8	-21.6–19.4
TBRmax	-9.0–16.2	-16.2–24.8	-20.1–29.7
TMV1.3	-50.9–66.7	-128.5–150.9	-199.6–227.0
